City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Huaiyuan,CN,32.97,117.2,73.22,20,0,8.77,clear sky
194,Harindanga,IN,22.04,88.32,78.8,54,0,5.82,mist
195,Port Elizabeth,ZA,-33.92,25.57,57.2,93,0,3.36,clear sky
196,Ambovombe,MG,-25.17,46.08,80.62,56,82,4.43,broken clouds
197,Tura,IN,25.52,90.22,79.75,53,0,1.01,clear sky
198,Samarai,PG,-10.62,150.67,82.94,78,27,10.83,scattered clouds
199,Gushikawa,JP,26.35,127.87,82.4,78,90,6.93,overcast clouds
200,Dunedin,NZ,-45.87,170.5,52.0,78,90,1.99,overcast clouds
201,Lagoa,PT,39.05,-27.98,59.31,70,40,33.31,light rain
202,Meulaboh,ID,4.14,96.13,77.65,88,100,5.93,light rain
203,Sabang,ID,5.89,95.32,79.83,79,94,7.34,overcast clouds
204,Chaves,US,33.38,-104.45,63.0,29,1,11.41,clear sky
205,Reconquista,AR,-29.15,-59.65,61.14,72,0,6.73,light rain
206,Omsukchan,RU,62.53,155.8,3.36,91,100,5.06,overcast clouds
207,Belyy Yar,RU,53.6,91.39,41.0,80,75,8.95,light intensity shower rain
208,Ilulissat,GL,69.22,-51.1,14.0,51,100,21.92,overcast clouds
209,Northam,GB,51.03,-4.22,55.99,92,63,1.99,broken clouds
210,Hambantota,LK,6.12,81.12,87.8,79,40,10.29,scattered clouds
211,Nantucket,US,41.28,-70.1,57.2,100,90,16.11,overcast clouds
212,Kieta,PG,-6.22,155.63,82.69,74,95,3.36,light rain
213,Saldanha,ZA,-33.01,17.94,57.2,93,26,6.93,scattered clouds
214,College,US,64.86,-147.8,30.0,92,90,5.84,light snow
215,Hvide Sande,DK,56.0,8.13,48.99,76,92,1.01,overcast clouds
216,Soyo,AO,-6.13,12.37,77.65,88,100,6.31,overcast clouds
217,Cidreira,BR,-30.18,-50.21,66.87,85,2,16.06,clear sky
218,Lunenburg,CA,44.38,-64.32,55.0,100,66,6.93,broken clouds
219,Port Keats,AU,-14.25,129.55,91.99,48,53,13.96,broken clouds
220,Caravelas,BR,-17.71,-39.25,71.06,94,100,2.8,moderate rain
221,Outjo,NA,-20.12,16.15,60.8,36,49,2.24,scattered clouds
222,Rabat,MA,33.99,-6.84,64.4,77,20,9.17,few clouds
223,Vardo,NO,70.37,31.11,40.03,75,79,25.34,broken clouds
224,Fortuna,US,40.6,-124.16,50.0,100,90,6.93,overcast clouds
225,Sobolevo,RU,54.43,31.9,45.93,89,100,16.51,overcast clouds
226,Sibu,MY,2.3,111.82,78.8,94,40,3.36,light rain
227,Olafsvik,IS,64.89,-23.71,39.49,74,92,21.47,light rain
228,Cabo San Lucas,MX,22.89,-109.91,75.99,82,0,4.94,clear sky
229,Juneau,US,58.3,-134.42,24.8,85,40,3.78,scattered clouds
230,Bubaque,GW,11.28,-15.83,83.34,75,24,15.28,few clouds
231,Gejiu,CN,23.31,103.16,61.84,73,64,3.38,broken clouds
232,Baoqing,CN,46.33,132.21,42.48,61,1,9.91,clear sky
233,Mokhotlong,LS,-29.29,29.07,57.97,46,24,6.26,few clouds
234,Grand Gaube,MU,-20.01,57.66,78.01,65,1,13.0,clear sky
235,Talnakh,RU,69.49,88.4,12.2,78,40,13.42,light snow
236,Najran,SA,17.49,44.13,59.0,30,0,1.39,clear sky
237,Huarmey,PE,-10.07,-78.15,60.15,87,22,4.74,few clouds
238,Chernyshevskiy,RU,63.01,112.47,-1.14,89,63,4.52,broken clouds
239,Lata,PT,40.16,-8.33,55.99,91,49,1.01,scattered clouds
240,Hamilton,US,39.18,-84.53,55.0,93,1,3.31,mist
241,Batsfjord,NO,70.63,29.72,38.21,77,76,22.79,broken clouds
242,Dwarka,IN,22.24,68.97,83.79,43,0,10.13,clear sky
243,Xiaoshi,CN,41.3,124.12,55.4,20,0,8.95,clear sky
244,Linxia,CN,35.6,103.21,47.95,48,9,2.91,clear sky
245,Ust-Nera,RU,64.57,143.2,0.43,85,99,4.47,overcast clouds
246,Mount Gambier,AU,-37.83,140.77,62.6,51,40,17.22,scattered clouds
247,Kiama,AU,-34.68,150.87,64.99,48,40,17.22,scattered clouds
248,Bambanglipuro,ID,-7.95,110.28,86.29,63,16,11.63,few clouds
249,Gizo,SB,-8.1,156.84,85.3,67,68,3.49,light rain
250,Dongsheng,CN,39.82,109.98,41.02,54,0,17.74,clear sky
251,Pisco,PE,-13.7,-76.22,64.4,82,90,11.41,overcast clouds
252,Bandarbeyla,SO,9.49,50.81,77.47,68,21,10.42,few clouds
253,Souillac,MU,-20.52,57.52,77.0,69,75,11.41,broken clouds
254,Ahipara,NZ,-35.17,173.17,64.98,89,87,15.08,overcast clouds
255,Nanortalik,GL,60.14,-45.24,34.23,87,100,18.43,overcast clouds
256,Waipawa,NZ,-41.41,175.52,64.4,88,76,18.34,broken clouds
257,Airai,TL,-8.93,125.41,81.27,32,0,8.1,clear sky
258,Hasaki,JP,35.73,140.83,72.0,77,75,3.36,broken clouds
259,Terrace,CA,54.52,-128.6,28.4,92,20,1.7,few clouds
260,Sechura,PE,-5.56,-80.82,63.41,78,14,9.8,few clouds
261,Port Hardy,CA,50.7,-127.42,42.8,69,75,18.34,broken clouds
262,Coihaique,CL,-45.58,-72.07,46.4,75,0,5.03,clear sky
263,Papetoai,PF,-17.5,-149.87,80.6,74,75,10.29,broken clouds
264,Khatanga,RU,71.97,102.5,-4.68,89,0,6.96,clear sky
265,San Policarpo,PH,12.18,125.51,81.88,85,100,21.85,heavy intensity rain
266,East London,ZA,-33.02,27.91,60.8,87,40,3.36,scattered clouds
267,Castleisland,IE,52.23,-9.47,46.4,87,90,8.05,overcast clouds
268,Kulykiv,UA,50.31,24.82,42.13,97,53,6.35,broken clouds
269,Albury,AU,-36.08,146.92,70.0,40,0,10.29,clear sky
270,Saint George,US,37.1,-113.58,71.6,24,1,13.87,clear sky
271,Ayan,RU,56.45,138.17,19.22,84,95,15.26,overcast clouds
272,Isangel,VU,-19.55,169.27,87.8,62,75,2.8,broken clouds
273,Jonkoping,SE,57.78,14.16,46.4,100,21,10.29,few clouds
274,Sault Sainte Marie,CA,46.52,-84.33,55.4,76,1,4.7,clear sky
275,Tongliao,CN,43.61,122.27,51.46,38,19,16.46,few clouds
276,Andros Town,BS,24.7,-77.77,78.8,83,75,13.87,broken clouds
277,Jalu,LY,29.03,21.55,59.04,77,2,6.89,clear sky
278,Pevek,RU,69.7,170.31,19.08,95,100,11.01,overcast clouds
279,Save,BJ,8.04,2.49,73.35,97,44,1.61,scattered clouds
280,San Carlos Del Zulia,VE,9.0,-71.91,75.15,93,26,2.44,moderate rain
281,Makakilo City,US,21.35,-158.09,80.6,65,20,4.7,few clouds
282,Kinel-Cherkassy,RU,53.47,51.47,39.2,98,81,2.98,broken clouds
283,Pangkalanbuun,ID,-2.68,111.62,93.88,48,58,2.57,light rain
284,Jinchang,CN,38.5,102.17,53.91,30,0,5.17,clear sky
285,Belmonte,BR,-15.86,-38.88,73.4,94,75,4.61,moderate rain
286,Snyder,US,32.72,-100.92,60.8,67,1,9.17,clear sky
287,Chase,CA,50.82,-119.69,30.2,92,18,2.24,few clouds
288,Ambulu,ID,-8.35,113.61,86.95,60,2,7.25,clear sky
289,Gazojak,TM,41.19,61.4,63.59,24,100,14.32,overcast clouds
290,Panzhihua,CN,26.59,101.71,72.57,49,62,2.75,broken clouds
291,Geraldton,AU,-28.77,114.6,80.6,44,0,12.75,clear sky
292,Cherskiy,RU,68.75,161.3,5.31,95,83,8.81,broken clouds
293,Egvekinot,RU,66.32,-179.17,24.98,99,100,4.03,overcast clouds
294,Acarau,BR,-2.89,-40.12,78.91,82,100,13.85,overcast clouds
295,Kourou,GF,5.16,-52.65,75.2,100,0,1.12,clear sky
296,Norman Wells,CA,65.28,-126.83,10.4,92,90,2.24,light snow
297,Tilichiki,RU,60.47,166.1,26.01,93,12,4.59,few clouds
298,Alofi,NU,-19.06,-169.92,78.8,69,24,13.87,few clouds
299,Lodwar,KE,3.12,35.6,82.38,54,83,9.86,broken clouds
300,Manjacaze,MZ,-24.71,33.88,83.86,55,0,8.99,clear sky
301,Salalah,OM,17.02,54.09,78.53,43,0,2.57,clear sky
302,Broken Hill,AU,-31.95,141.43,69.8,32,0,10.29,clear sky
303,Jalingo,NG,8.88,11.37,73.15,33,97,2.21,overcast clouds
304,Kaduqli,SD,11.02,29.72,72.43,25,62,12.08,broken clouds
305,Yadgir,IN,16.77,77.13,82.89,56,46,10.22,scattered clouds
306,San Patricio,US,28.02,-97.52,70.0,93,20,5.82,few clouds
307,Cornwall,CA,45.02,-74.73,59.0,67,1,12.75,clear sky
308,Midland,US,32.0,-102.08,63.0,59,1,13.87,clear sky
309,Fortuna Foothills,US,32.66,-114.41,75.2,33,75,11.41,broken clouds
310,Zahir Pir,PK,28.81,70.52,86.65,13,9,1.95,clear sky
311,Komsomolskiy,UZ,40.43,71.72,57.2,16,10,2.24,clear sky
312,Tocopilla,CL,-22.09,-70.2,60.53,62,13,3.62,few clouds
313,Wolfville,CA,45.08,-64.37,57.99,76,87,10.29,overcast clouds
314,Torbay,CA,47.67,-52.73,54.0,93,90,24.16,overcast clouds
315,Ankang,CN,32.68,109.02,69.33,36,46,1.25,scattered clouds
316,Kingaroy,AU,-26.53,151.83,80.6,32,40,8.05,scattered clouds
317,Malabo,GQ,3.75,8.78,78.8,80,83,2.3,light rain
318,Dhanwar,IN,24.42,85.98,77.27,33,0,4.85,clear sky
319,Tygda,RU,53.12,126.33,25.11,97,100,7.25,light snow
320,Taltal,CL,-25.4,-70.48,57.65,81,35,7.63,scattered clouds
321,Srandakan,ID,-7.94,110.25,86.09,64,17,11.52,few clouds
322,Santa Cruz,BO,-17.8,-63.17,78.8,78,67,3.36,smoke
323,Taitung,TW,22.76,121.14,86.0,70,40,8.05,scattered clouds
324,Manzhouli,CN,49.6,117.43,26.01,92,91,21.88,overcast clouds
325,Amahai,ID,-3.33,128.92,84.56,66,100,8.43,overcast clouds
326,Filingue,NE,14.35,3.32,76.3,21,0,8.61,clear sky
327,Praia Da Vitoria,PT,38.73,-27.07,57.2,100,75,26.96,broken clouds
328,Codrington,AU,-38.27,141.97,55.38,63,34,14.03,scattered clouds
329,Nishihara,JP,26.18,127.76,82.4,94,90,9.17,overcast clouds
330,Songjianghe,CN,42.19,127.48,46.27,53,2,10.92,clear sky
331,Barrow,US,71.29,-156.79,33.8,80,90,23.04,overcast clouds
332,Itape,PY,-25.85,-56.62,65.32,48,0,2.68,clear sky
333,Sorong,ID,-0.88,131.25,85.98,69,70,14.32,broken clouds
334,Manaure,CO,11.78,-72.44,80.28,79,89,4.21,overcast clouds
335,Visnes,NO,59.36,5.22,48.99,100,46,11.41,heavy intensity drizzle
336,Iqaluit,CA,63.75,-68.51,-2.0,70,20,20.8,few clouds
337,Dingle,PH,11.0,122.67,77.13,89,100,13.6,moderate rain
